TIPO;DIRECCION;IDENTIFICADOR;CODIGO;CODNDP,N,19,0;TIPO DE VALLA;TIPO DE SUELO;LOCALIZACION;ACCESO;N.ELEMENTOS;AREA;PERIMETRO;DIRECCION AUXLIAR;DISTRITO;BARRIO;latitud;longitud;UTMX;UTMY
AREA INFANTIL;CALLE LONJA DE LA SEDA nº 4;811;11152;31037138;VALLA METALICA CON COLORINES;ARENA;0;0;4;134,64;44,38;C · CALLE ACUEDUCTO DE SEGOVIA , ASCENDIENTE 1: 1;CARABANCHEL;BUENAVISTA;40,365871;-3,755355;435868,293;4468640,432
AREA INFANTIL;CALLE RAMON GOMEZ DE LA SERNA nº 22;346;8025;20097816;VALLA MADERA - TIPO TALANQUERA;ARENA;0;VALLA RETRANQUEADA;4;431,824;73,72;C · CALLE PINARES LLANOS 72 , ASCENDIENTE 1: 083;FUENCARRAL - ELPARDO;PEÑAGRANDE;40,485187;-3,725761;438489,72;4481863,444
AREA INFANTIL;CALLE COLLADO DEL MOSTAJO nº 1;350;8031;20090743;SIN VALLA;ARENA;EN PARQUE VALLE DE ENMEDIO;0;4;489,138;80,75;PARQUE VALLE DE ENMEDIO;FUENCARRAL - ELPARDO;MIRASIERRA;40,488741;-3,720335;438952,801;4482254,148
AREA INFANTIL;CALLE ALISEDA nº 24;743;11049;31002570;VALLA METALICA CON COLORINES;ARENA;0;0;4;128,558;47,5;C · CALLE ALISEDA 31 , ASCENDIENTE 1: 115 · PUERT;CARABANCHEL;PUERTA BONITA;40,375567;-3,742747;436947,739;4469707,613
AREA INFANTIL;CALLE PEDRO RICO nº 45;366;8056;11046931;VALLA METALICA COLOR VERDA;ARENA;EN LATERAL AVD ILUSTRACION;0;4;119,406;45,14;LATERAL AVD DE LA ILUSTRACION;FUENCARRAL - ELPARDO;LA PAZ;40,482992;-3,701425;440550,345;4481603,158
AREA INFANTIL;PLAZA LAS MENINAS nº 4;747;11053;11078767;SIN VALLA;ARENA;0;0;4;56,161;27,1;0;CARABANCHEL;ABRANTES;40,377398;-3,731039;437943,3518;4469902,548
AREA INFANTIL;PLAZA VULCANO nº 1;836;11178;11078732;VALLA METALICA DE COLORINES;ARENA;0;CON PORTICO;4;287,484;69,25;0;CARABANCHEL;ABRANTES;40,378363;-3,731934;437868,25;4470010,323
AREA INFANTIL;PLAZA HILANDERAS nº 4;745;11051;11078662;VALLA METALICA DE COLORINES;ARENA;0;0;4;179,382;53,54;0;CARABANCHEL;ABRANTES;40,376633;-3,732232;437841,381;4469818,507
AREA INFANTIL;CALLE ONTANILLA nº 1;846;11192;31044441;VALLA METALICA DE COLORINES;ARENA;0;0;5;389,209;81,38;0;CARABANCHEL;ABRANTES;40,374233;-3,72942;438077,877;4469550,122
AREA INFANTIL;CALLE SALVADOR DE MADARIAGA nº 9;1194;15012;20178114;0;0;0;0;8;310,607;76,16;0;CIUDAD LINEAL;SAN PASCUAL;40,439169;-3,65796;444197,964;4476710,341
AREA INFANTIL;CALLE MOTA DEL CUERVO nº 35;1359;16065;11116990;0;0;0;0;4;300,083;71,96;0;HORTALEZA;CANILLAS;40,465409;-3,629274;446651,673;4479605,307
AREA INFANTIL;CALLE TORRESANDINO nº 6;1400;16116;20155880;0;0;0;0;6;317,159;93,41;0;HORTALEZA;CANILLAS;40,468826;-3,640136;445733,546;4479991,164
AREA INFANTIL;CALLE BRIVIESCA nº 1;1290;15115;20132717;VALLA METALICA COLOR VERDE;ARENA;0;ACCESO CON VALLA RETRANQUEADA;3;271,352;59,11;C · CALLE ARTURO SORIA 335 , ASCENDIENTE 1: 159 ·;CIUDAD LINEAL;COSTILLARES;40,48158;-3,666771;443486,277;4481423,566
AREA INFANTIL;CALLE GOLFO DE SALONICA nº 11;1264;15087;20134985;VALLA METALICA CON COLORINES;ARENA;0;0;7;231,004;58,22;C · CALLE GOLFO DE SALÓNICA 19 , ASCENDIENTE 1: 1;CIUDAD LINEAL;COSTILLARES;40,476761;-3,666981;443464,443;4480888,774
AREA INFANTIL;CALLE LAUD nº 1;1304;15132;20135003;SIN VALLA;ARENA;EN JARDIN JAZMIN. PARQUE DE LA CORNISA;0;2;160,341;78,76;C · CALLE ARTURO SORIA 348 , ASCENDIENTE 1: 159 ·;CIUDAD LINEAL;COSTILLARES;40,482995;-3,663203;443789,876;4481578,35
AREA INFANTIL;CALLE PURCHENA nº 32;1436;16169;20060223;VALLA METALICA CON COLORINES;ARENA;0;0;4;250,388;71,03;C · CALLE BACARES 76 , ASCENDIENTE 1: 165 · APÓST;HORTALEZA;APOSTOL SANTIAGO;40,477669;-3,664225;443698,78;4480987,891
AREA INFANTIL;CALLE MONOVAR nº 21;1329;16030;11122151;VALLA METALICA COLOR VERDE;ARENA;0;0;4;280,632;67,54;C · CALLE MONOVAR 19 , ASCENDIENTE 1: 165 · APÓST;HORTALEZA;APOSTOL SANTIAGO;40,478689;-3,656527;444352,125;4481096,16
